date,location,avg_temp,max_temp
2020/2/20,Tokyo,9,13.1
2020/2/21,Tokyo,10,14.2
2020/2/22,Tokyo,12.5,18.2
2020/2/23,Tokyo,10.4,16
2020/2/24,Tokyo,9.8,15.4
2020/2/25,Tokyo,10.5,14.4
2020/2/26,Tokyo,8.1,9.4
2020/2/27,Tokyo,7,11.9
2020/2/28,Tokyo,7,12.4
2020/2/29,Tokyo,9.4,14.4
2020/3/1,Tokyo,12,17.9
2020/3/2,Tokyo,7.3,11.2
2020/3/3,Tokyo,11.3,17.8
2020/3/4,Tokyo,8.9,10.9
2020/3/5,Tokyo,9.2,13.7
2020/3/6,Tokyo,9.4,15.1
2020/3/7,Tokyo,7.3,10.4
2020/3/8,Tokyo,7.2,8.9
2020/3/9,Tokyo,13.1,19.6
2020/3/10,Tokyo,14.7,18.2
2020/3/11,Tokyo,15.3,21.4
2020/3/12,Tokyo,11.4,16.7
2020/3/13,Tokyo,12.5,18.7
2020/3/14,Tokyo,5.5,12.3
2020/3/15,Tokyo,7.1,12
2020/3/16,Tokyo,7.1,14.4
2020/3/17,Tokyo,7.7,12.7
2020/3/18,Tokyo,11.9,18.4
2020/3/19,Tokyo,14.6,22
2020/3/20,Tokyo,14.5,19.4
2020/3/21,Tokyo,13.8,21
2020/3/22,Tokyo,16.8,23.7
2020/3/23,Tokyo,10.3,14
2020/3/24,Tokyo,8.2,12.6
2020/3/25,Tokyo,10,16
2020/3/26,Tokyo,13,20
2020/3/27,Tokyo,16.2,22.8
2020/3/28,Tokyo,15.5,24.6
2020/3/29,Tokyo,3.6,7.7
2020/3/30,Tokyo,7.6,10.3
2020/3/31,Tokyo,9.8,12.5
2020/4/1,Tokyo,11.4,12.9
2020/4/2,Tokyo,13.9,19.4
2020/4/3,Tokyo,12.8,18.2
2020/4/4,Tokyo,15.7,22.3
2020/4/5,Tokyo,10.2,15.9
2020/4/6,Tokyo,12.1,18.4
2020/4/7,Tokyo,12.4,18
2020/4/8,Tokyo,14.3,20.2
2020/4/9,Tokyo,13.3,20.2
2020/4/10,Tokyo,11.2,17.2
2020/4/11,Tokyo,11.4,17
2020/4/12,Tokyo,10.3,14.6
2020/4/13,Tokyo,8,10.1
2020/4/14,Tokyo,10.9,17.2
2020/4/15,Tokyo,13.8,20.8
2020/4/16,Tokyo,11.7,16.3
2020/4/17,Tokyo,12.4,17.8
2020/4/18,Tokyo,12.9,16.2
2020/4/19,Tokyo,14.7,22.5
2020/4/20,Tokyo,9.7,10.7
2020/4/21,Tokyo,14.2,18.9
2020/4/22,Tokyo,13.5,19.2
2020/4/23,Tokyo,11.9,17
2020/4/24,Tokyo,12.2,18.4
2020/4/25,Tokyo,12.7,18.8
2020/4/26,Tokyo,18.3,24.2
2020/4/27,Tokyo,12.8,17.8
2020/4/28,Tokyo,12.3,19.1
2020/4/29,Tokyo,15.1,21.7
2020/4/30,Tokyo,18,23.9
2020/5/1,Tokyo,19.9,25.5
2020/5/2,Tokyo,20.6,26.9
2020/5/3,Tokyo,20.7,25.8
2020/5/4,Tokyo,19.3,22.2
2020/5/5,Tokyo,21.3,28.4
2020/5/6,Tokyo,15.8,17.3
2020/5/7,Tokyo,16.5,22.5
2020/5/8,Tokyo,16.7,22.1
2020/5/9,Tokyo,18.3,23
2020/5/10,Tokyo,21.5,25.7
2020/5/11,Tokyo,22.9,28.1
2020/5/12,Tokyo,21.7,26.5
2020/5/13,Tokyo,22.3,28.7
2020/5/14,Tokyo,20.8,26.2
2020/5/15,Tokyo,21.5,26.5
2020/5/16,Tokyo,18.5,21.7
2020/5/17,Tokyo,21.6,28.2
2020/5/18,Tokyo,19.2,20.1
2020/5/19,Tokyo,17.7,19.2
2020/5/20,Tokyo,12.7,15.4
2020/5/21,Tokyo,12.7,14.8
2020/5/22,Tokyo,15.3,18.1
2020/5/23,Tokyo,18.4,23.7
2020/5/24,Tokyo,20.8,26.5
2020/5/25,Tokyo,21.6,26.5
2020/5/26,Tokyo,20.9,24.3
2020/5/27,Tokyo,21.4,26.6
2020/5/28,Tokyo,19.4,25.2
2020/5/29,Tokyo,20.7,27.4
2020/5/30,Tokyo,22,27.9
2020/5/31,Tokyo,21.3,24.5
2020/6/1,Tokyo,19.6,21.2
2020/6/2,Tokyo,22.3,26.6
2020/6/3,Tokyo,24,28.5
2020/6/4,Tokyo,23.5,27.6
2020/6/5,Tokyo,24.8,29.9
2020/6/6,Tokyo,24.2,28.4
2020/6/7,Tokyo,22,27.2
2020/6/8,Tokyo,23.2,28.3
2020/6/9,Tokyo,25.5,31
2020/6/10,Tokyo,26.2,31.4
2020/6/11,Tokyo,25.1,30.5
2020/6/12,Tokyo,26.2,31.6
2020/6/13,Tokyo,21.3,24.3
2020/6/14,Tokyo,21.7,24
2020/6/15,Tokyo,25.9,32.6
2020/6/16,Tokyo,25.5,30.5
2020/6/17,Tokyo,23.6,28.8
2020/6/18,Tokyo,22.1,25.5
2020/6/19,Tokyo,18.7,19.8
2020/6/20,Tokyo,22.9,28.7
2020/6/21,Tokyo,21.9,26.5
2020/6/22,Tokyo,19.2,21
2020/6/23,Tokyo,22.3,27.2
2020/6/24,Tokyo,22.5,26.8
2020/6/25,Tokyo,20.2,23.3
2020/6/26,Tokyo,24.7,30.9
2020/6/27,Tokyo,25.5,29.3
2020/6/28,Tokyo,22.2,24.9
2020/6/29,Tokyo,24.9,29.8
2020/6/30,Tokyo,24.6,27.7
2020/7/1,Tokyo,25.1,26.7
2020/7/2,Tokyo,25.9,30.8
2020/7/3,Tokyo,23.8,28.7
2020/7/4,Tokyo,23.8,27.7
2020/7/5,Tokyo,24.9,28.1
2020/7/6,Tokyo,24.8,26.9
2020/7/7,Tokyo,27.2,29.3
2020/7/8,Tokyo,26,28.5
2020/7/9,Tokyo,23.7,26.1
2020/7/10,Tokyo,25.3,28.1
2020/7/11,Tokyo,27.5,31.2
2020/7/12,Tokyo,26,32.5
2020/7/13,Tokyo,21,25.2
2020/7/14,Tokyo,22.3,23.7
2020/7/15,Tokyo,20.4,22
2020/7/16,Tokyo,20.7,24.6
2020/7/17,Tokyo,19.3,20.6
2020/7/18,Tokyo,20.4,22
2020/7/19,Tokyo,24.3,29.3
2020/7/20,Tokyo,26.9,31.9
2020/7/21,Tokyo,25.5,29
2020/7/22,Tokyo,26.6,29.9
2020/7/23,Tokyo,23.2,26
2020/7/24,Tokyo,24.5,27.2
2020/7/25,Tokyo,25.1,27.4
2020/7/26,Tokyo,25.6,31.2
2020/7/27,Tokyo,26.3,30.7
2020/7/28,Tokyo,26.7,31
2020/7/29,Tokyo,22.9,25.6
2020/7/30,Tokyo,23.2,26.5
2020/7/31,Tokyo,24.8,29.6
2020/8/1,Tokyo,26.1,31.8
2020/8/2,Tokyo,26.3,31.5
2020/8/3,Tokyo,27.2,32.3
2020/8/4,Tokyo,28.3,33.1
2020/8/5,Tokyo,29.1,34.2
2020/8/6,Tokyo,28.5,33.1
2020/8/7,Tokyo,29.5,35.4
2020/8/8,Tokyo,28.1,32.3
2020/8/9,Tokyo,28.7,34.7
2020/8/10,Tokyo,30.5,35.2
2020/8/11,Tokyo,31.7,37.3
2020/8/12,Tokyo,30,35.8
2020/8/13,Tokyo,29.4,36.1
2020/8/14,Tokyo,29.4,34.2
2020/8/15,Tokyo,31,36.1
2020/8/16,Tokyo,31.2,35.4
2020/8/17,Tokyo,30.8,36.5
2020/8/18,Tokyo,30.3,34.3
2020/8/19,Tokyo,29,34.2
2020/8/20,Tokyo,29.7,34.8
2020/8/21,Tokyo,30.1,36
2020/8/22,Tokyo,29.3,35.2
2020/8/23,Tokyo,25.6,29.4
2020/8/24,Tokyo,27.2,32.3
2020/8/25,Tokyo,27.8,32.2
2020/8/26,Tokyo,28.8,34
2020/8/27,Tokyo,29.3,33.6
2020/8/28,Tokyo,30.2,34.5
2020/8/29,Tokyo,30.3,35
2020/8/30,Tokyo,30,34.9
2020/8/31,Tokyo,27.5,32.6
2020/9/1,Tokyo,24.9,27.4
2020/9/2,Tokyo,26.8,32.1
2020/9/3,Tokyo,28.4,32.7
2020/9/4,Tokyo,29.3,35.1
2020/9/5,Tokyo,28.6,34.2
2020/9/6,Tokyo,25.7,29.5
2020/9/7,Tokyo,26.7,31.2
2020/9/8,Tokyo,29.5,34.2
2020/9/9,Tokyo,29,33.6
2020/9/10,Tokyo,27.7,31.7
2020/9/11,Tokyo,28.3,32.5
2020/9/12,Tokyo,23.7,27.7
2020/9/13,Tokyo,23.3,27.8
2020/9/14,Tokyo,23.4,27.2
2020/9/15,Tokyo,23.8,27.7
2020/9/16,Tokyo,24,28.1
2020/9/17,Tokyo,24.9,28.4
2020/9/18,Tokyo,29,33.4
2020/9/19,Tokyo,24.7,27.1
2020/9/20,Tokyo,22.2,23.7
2020/9/21,Tokyo,22,26.1
2020/9/22,Tokyo,22.5,27.7
2020/9/23,Tokyo,20.2,22.7
2020/9/24,Tokyo,19,22.2
2020/9/25,Tokyo,19.4,20.8
2020/9/26,Tokyo,18.5,20
2020/9/27,Tokyo,19.7,23.5
2020/9/28,Tokyo,21.5,27.4
2020/9/29,Tokyo,19.7,23.1
2020/9/30,Tokyo,20,25.4
2020/10/1,Tokyo,19.5,24.3
2020/10/2,Tokyo,21,26.7
2020/10/3,Tokyo,21.7,26.3
2020/10/4,Tokyo,22,26.2
2020/10/5,Tokyo,21.7,24.8
2020/10/6,Tokyo,21,24.8
2020/10/7,Tokyo,18.3,23.9
2020/10/8,Tokyo,14.7,15.5
2020/10/9,Tokyo,14.5,15.4
2020/10/10,Tokyo,16,17.1
2020/10/11,Tokyo,19.8,23.3
2020/10/12,Tokyo,21.5,25.1
2020/10/13,Tokyo,22.1,26.7
2020/10/14,Tokyo,20.3,23.2
2020/10/15,Tokyo,16.8,19.7
2020/10/16,Tokyo,16.1,19.5
2020/10/17,Tokyo,12.7,16
2020/10/18,Tokyo,14.3,19.8
2020/10/19,Tokyo,13.1,17.1
2020/10/20,Tokyo,15.6,21
2020/10/21,Tokyo,16,21.6
2020/10/22,Tokyo,17.4,22.1
2020/10/23,Tokyo,16.8,17.9
2020/10/24,Tokyo,17.3,21.2
2020/10/25,Tokyo,15.5,21.3
2020/10/26,Tokyo,16.2,22.9
2020/10/27,Tokyo,16.7,20.8
2020/10/28,Tokyo,16.6,20.2
2020/10/29,Tokyo,17.3,22.8
2020/10/30,Tokyo,14.9,18.5
2020/10/31,Tokyo,13.8,19.2
2020/11/1,Tokyo,14.3,19.9
2020/11/2,Tokyo,15.6,23.6
2020/11/3,Tokyo,14.8,17.1
2020/11/4,Tokyo,13.7,18.6
2020/11/5,Tokyo,13.4,19.4
2020/11/6,Tokyo,12.8,16.2
2020/11/7,Tokyo,15.5,20.6
2020/11/8,Tokyo,17.3,22.4
2020/11/9,Tokyo,13.5,18.3
2020/11/10,Tokyo,11.9,16.9
2020/11/11,Tokyo,11.9,16.9
2020/11/12,Tokyo,10.2,13.1
2020/11/13,Tokyo,13.7,19
2020/11/14,Tokyo,14.7,20.3
2020/11/15,Tokyo,13.4,18.6
2020/11/16,Tokyo,14.7,21.4
2020/11/17,Tokyo,15.2,20.7
2020/11/18,Tokyo,15.8,21.4
2020/11/19,Tokyo,19.1,24.9
2020/11/20,Tokyo,21.9,23.9
2020/11/21,Tokyo,16.6,20.2
2020/11/22,Tokyo,15,19.3
2020/11/23,Tokyo,15.5,20.9
2020/11/24,Tokyo,11.8,13.3
2020/11/25,Tokyo,10.5,12.1
2020/11/26,Tokyo,12.8,18.6
2020/11/27,Tokyo,11.6,13.2
2020/11/28,Tokyo,11.8,17.3
2020/11/29,Tokyo,10.1,13.7
2020/11/30,Tokyo,9.9,14.9
2020/12/1,Tokyo,10.2,14.9
2020/12/2,Tokyo,8.2,10.2
2020/12/3,Tokyo,8.1,10.6
2020/12/4,Tokyo,9.2,13.9
2020/12/5,Tokyo,6.6,7.7
2020/12/6,Tokyo,8.2,13.5
2020/12/7,Tokyo,9.7,16.1
2020/12/8,Tokyo,11.4,17.2
2020/12/9,Tokyo,9.8,12.2
2020/12/10,Tokyo,9.3,12.2
2020/12/11,Tokyo,10.2,14.4
2020/12/12,Tokyo,11.4,15
2020/12/13,Tokyo,9.9,15.4
2020/12/14,Tokyo,8.5,13.1
2020/12/15,Tokyo,6.1,11.3
2020/12/16,Tokyo,4.6,9.6
2020/12/17,Tokyo,4.3,9.4
2020/12/18,Tokyo,6.1,11.6
2020/12/19,Tokyo,5.8,9.4
2020/12/20,Tokyo,4.4,9.4
2020/12/21,Tokyo,5.3,11.2
2020/12/22,Tokyo,5.6,11.7
2020/12/23,Tokyo,7.7,14.1
2020/12/24,Tokyo,8,12.9
2020/12/25,Tokyo,8.7,14
2020/12/26,Tokyo,6.4,11.8
2020/12/27,Tokyo,7.8,12.7
2020/12/28,Tokyo,8.5,13.5
2020/12/29,Tokyo,8.7,13.1
2020/12/30,Tokyo,6.9,12.3
2020/12/31,Tokyo,3.4,7.6
2021/1/1,Tokyo,4.4,10.5
2021/1/2,Tokyo,4.8,10.8
2021/1/3,Tokyo,3.7,8.4
2021/1/4,Tokyo,5.8,11.4
2021/1/5,Tokyo,6,10
2021/1/6,Tokyo,5.3,6.8
2021/1/7,Tokyo,6.3,12.7
2021/1/8,Tokyo,2.4,6.5
2021/1/9,Tokyo,2.9,8.4
2021/1/10,Tokyo,2.6,8.1
2021/1/11,Tokyo,2.3,6.5
2021/1/12,Tokyo,3.4,5.7
2021/1/13,Tokyo,5.8,12.5
2021/1/14,Tokyo,7.9,14.5
2021/1/15,Tokyo,6.6,7.6
2021/1/16,Tokyo,10,18.7
2021/1/17,Tokyo,6.1,8
2021/1/18,Tokyo,4.3,8.6
2021/1/19,Tokyo,4.4,9.5
2021/1/20,Tokyo,3.9,9.5
2021/1/21,Tokyo,4.8,10.7
2021/1/22,Tokyo,8.7,16
2021/1/23,Tokyo,6.4,10.2
2021/1/24,Tokyo,4.3,6.5
2021/1/25,Tokyo,7.6,13.2
2021/1/26,Tokyo,7.5,11.2
2021/1/27,Tokyo,10.3,16.2
2021/1/28,Tokyo,4.4,7.9
2021/1/29,Tokyo,5.3,10.8
2021/1/30,Tokyo,4.1,9.3
2021/1/31,Tokyo,5.4,11.9
2021/2/1,Tokyo,7.2,14
2021/2/2,Tokyo,8.8,15.6
2021/2/3,Tokyo,6.2,11.8
2021/2/4,Tokyo,7,12.6
2021/2/5,Tokyo,7.1,12.4
2021/2/6,Tokyo,8.9,15
2021/2/7,Tokyo,9.9,16.3
2021/2/8,Tokyo,6.1,11
2021/2/9,Tokyo,4.7,9.6
2021/2/10,Tokyo,6.7,12.1
2021/2/11,Tokyo,8.7,14.1
2021/2/12,Tokyo,7.8,11.7
2021/2/13,Tokyo,10.4,16.2
2021/2/14,Tokyo,12.3,18.2
2021/2/15,Tokyo,11.4,14.1
2021/2/16,Tokyo,10.6,16.4
2021/2/17,Tokyo,7.6,13.1
2021/2/18,Tokyo,4.3,10.4
2021/2/19,Tokyo,6.9,12.3
2021/2/20,Tokyo,10.2,18.1
2021/2/21,Tokyo,13.9,20.9
2021/2/22,Tokyo,14.9,21.9
2021/2/23,Tokyo,11,15.5
2021/2/24,Tokyo,6.4,11.9
2021/2/25,Tokyo,6.6,11.3
2021/2/26,Tokyo,8.7,11.8
2021/2/27,Tokyo,5.7,9.6
2021/2/28,Tokyo,6.6,12.9
2021/3/1,Tokyo,11.8,19.1
2021/3/2,Tokyo,13.5,19.8
2021/3/3,Tokyo,7.4,11.8
2021/3/4,Tokyo,9,15
2021/3/5,Tokyo,11.8,17.4
2021/3/6,Tokyo,13.8,21
2021/3/7,Tokyo,7.8,10.3
2021/3/8,Tokyo,6.6,7.7
2021/3/9,Tokyo,9.6,13.7
2021/3/10,Tokyo,12,19.4
2021/3/11,Tokyo,9.9,15.4
2021/3/12,Tokyo,12.7,18
2021/3/13,Tokyo,11.1,13.9
2021/3/14,Tokyo,12.5,18.2
2021/3/15,Tokyo,12.9,19.5
2021/3/16,Tokyo,14.5,22
2021/3/17,Tokyo,13.7,20.1
2021/3/18,Tokyo,12.3,17.7
2021/3/19,Tokyo,12.9,18.9
2021/3/20,Tokyo,14.1,18.6
2021/3/21,Tokyo,16.7,19.7
2021/3/22,Tokyo,12.1,15.6
2021/3/23,Tokyo,10.8,15.8
2021/3/24,Tokyo,13.8,20.5
2021/3/25,Tokyo,14.5,18.4
2021/3/26,Tokyo,14.5,21.2
2021/3/27,Tokyo,13.7,18.3
2021/3/28,Tokyo,16.5,18.6
2021/3/29,Tokyo,17.5,23.4
2021/3/30,Tokyo,17.8,23.3
2021/3/31,Tokyo,17.9,23.4
2021/4/1,Tokyo,16.6,21.7
2021/4/2,Tokyo,16,19.9
2021/4/3,Tokyo,16.9,22.3
2021/4/4,Tokyo,18.5,23.3
2021/4/5,Tokyo,12.9,17.2
2021/4/6,Tokyo,10.6,15.7
2021/4/7,Tokyo,13.3,19.6
2021/4/8,Tokyo,13.3,18.1
2021/4/9,Tokyo,11.9,18.3
2021/4/10,Tokyo,10.4,16.3
2021/4/11,Tokyo,12.5,18.6
2021/4/12,Tokyo,14.4,20.8
2021/4/13,Tokyo,15.7,20.1
2021/4/14,Tokyo,15.3,19.2
2021/4/15,Tokyo,10.7,16.5
2021/4/16,Tokyo,13.7,19.1
2021/4/17,Tokyo,15.7,18.7
2021/4/18,Tokyo,16.4,22
2021/4/19,Tokyo,15.8,21.9
2021/4/20,Tokyo,17.2,24.5
2021/4/21,Tokyo,19.1,25.2
2021/4/22,Tokyo,18.1,26.2
2021/4/23,Tokyo,13.8,20.4
2021/4/24,Tokyo,15.3,21.6
2021/4/25,Tokyo,16.9,23.2
2021/4/26,Tokyo,13.4,19.4
2021/4/27,Tokyo,14.6,20.4
2021/4/28,Tokyo,18.2,23.8
2021/4/29,Tokyo,17.2,18.8
2021/4/30,Tokyo,18.8,24.2
2021/5/1,Tokyo,17.7,24.1
2021/5/2,Tokyo,16.3,23.5
2021/5/3,Tokyo,16.4,22.8
2021/5/4,Tokyo,18,24.5
2021/5/5,Tokyo,18.3,22.1
2021/5/6,Tokyo,18.5,24.4
2021/5/7,Tokyo,17.5,20.5
2021/5/8,Tokyo,19.5,24.9
2021/5/9,Tokyo,23,28.5
2021/5/10,Tokyo,20.2,25.1
2021/5/11,Tokyo,17.5,19.9
2021/5/12,Tokyo,17.9,21.2
2021/5/13,Tokyo,16.1,18.2
2021/5/14,Tokyo,20.8,26.9
2021/5/15,Tokyo,21.2,26.4
2021/5/16,Tokyo,20,22.4
2021/5/17,Tokyo,23,25
2021/5/18,Tokyo,20.5,22.8
2021/5/19,Tokyo,17.2,18.4
2021/5/20,Tokyo,19.1,22.3
2021/5/21,Tokyo,21.7,25.2
2021/5/22,Tokyo,20,23.4
2021/5/23,Tokyo,19.6,25.4
2021/5/24,Tokyo,22.1,28
2021/5/25,Tokyo,22.4,28.9
2021/5/26,Tokyo,21.1,26
2021/5/27,Tokyo,16.9,20.3
2021/5/28,Tokyo,20.5,26.1
2021/5/29,Tokyo,22.8,28.3
2021/5/30,Tokyo,21.2,26.8
2021/5/31,Tokyo,20.6,25.2
2021/6/1,Tokyo,20.1,25.7
2021/6/2,Tokyo,22,26.4
2021/6/3,Tokyo,22.1,27.4
2021/6/4,Tokyo,21,23.9
2021/6/5,Tokyo,22.1,26.7
2021/6/6,Tokyo,21.7,24
2021/6/7,Tokyo,23.4,29.7
2021/6/8,Tokyo,24.8,31.4
2021/6/9,Tokyo,24.5,31.1
2021/6/10,Tokyo,24.1,30.7
2021/6/11,Tokyo,23.7,29.4
2021/6/12,Tokyo,23.3,28.1
2021/6/13,Tokyo,24.3,28.1
2021/6/14,Tokyo,21,23.7
2021/6/15,Tokyo,23.4,29.5
2021/6/16,Tokyo,22.2,24.9
2021/6/17,Tokyo,21.8,26.7
2021/6/18,Tokyo,22.8,27.4
2021/6/19,Tokyo,20.3,23.1
2021/6/20,Tokyo,22.8,28.6
2021/6/21,Tokyo,22.9,27.9
2021/6/22,Tokyo,23.1,28.6
2021/6/23,Tokyo,22,25.6
2021/6/24,Tokyo,22.8,27.2
2021/6/25,Tokyo,23.3,27.5
2021/6/26,Tokyo,24.2,28.4
2021/6/27,Tokyo,23.7,26.7
2021/6/28,Tokyo,24.4,29.6
2021/6/29,Tokyo,21.9,28.4
2021/6/30,Tokyo,20.6,23.1
2021/7/1,Tokyo,20.9,22.9
2021/7/2,Tokyo,21.2,22.2
2021/7/3,Tokyo,22.2,25.8
2021/7/4,Tokyo,20.1,21.1
2021/7/5,Tokyo,22.1,25.1
2021/7/6,Tokyo,24.7,29.6
2021/7/7,Tokyo,25.8,30
2021/7/8,Tokyo,23.7,24.8
2021/7/9,Tokyo,23.5,24.9
2021/7/10,Tokyo,27,33.4
2021/7/11,Tokyo,24.7,31.8
2021/7/12,Tokyo,25.8,31.6
2021/7/13,Tokyo,25.5,29
2021/7/14,Tokyo,25.3,28.8
2021/7/15,Tokyo,26.4,31.1
2021/7/16,Tokyo,27.7,33.2
2021/7/17,Tokyo,27.4,32.6
2021/7/18,Tokyo,28.1,33.2
2021/7/19,Tokyo,29.2,34.7
2021/7/20,Tokyo,28.8,34
2021/7/21,Tokyo,28.4,33.6
2021/7/22,Tokyo,28.4,34.2
2021/7/23,Tokyo,28.4,34
2021/7/24,Tokyo,28.5,34.4
2021/7/25,Tokyo,28.5,34.4
2021/7/26,Tokyo,27.5,32.1
2021/7/27,Tokyo,24.9,29.8
2021/7/28,Tokyo,27.7,32
2021/7/29,Tokyo,27.8,32.1
2021/7/30,Tokyo,25.8,30.5
2021/7/31,Tokyo,27.5,32.5
2021/8/1,Tokyo,28.7,33.7
2021/8/2,Tokyo,28.6,33.1
2021/8/3,Tokyo,29,32.9
2021/8/4,Tokyo,29.5,34.5
2021/8/5,Tokyo,29.1,34.7
2021/8/6,Tokyo,29.1,34.8
2021/8/7,Tokyo,27.9,31.4
2021/8/8,Tokyo,25.9,28.8
2021/8/9,Tokyo,28.1,31.3
2021/8/10,Tokyo,31,36.8
2021/8/11,Tokyo,29.2,33.5
2021/8/12,Tokyo,26,29.2
2021/8/13,Tokyo,22.5,25.4
2021/8/14,Tokyo,22.3,25.6
2021/8/15,Tokyo,19.3,20.2
2021/8/16,Tokyo,20.7,22.5
2021/8/17,Tokyo,23.7,27.4
2021/8/18,Tokyo,27,31.3
2021/8/19,Tokyo,28.5,33.8
2021/8/20,Tokyo,28.7,33.7
2021/8/21,Tokyo,27.9,32.1
2021/8/22,Tokyo,28.5,33.6
2021/8/23,Tokyo,26.9,30.3
2021/8/24,Tokyo,27.5,31
2021/8/25,Tokyo,29.4,34.4
2021/8/26,Tokyo,30.5,35.7
2021/8/27,Tokyo,30,34.3
2021/8/28,Tokyo,29.8,34.8
2021/8/29,Tokyo,28.5,32.8
2021/8/30,Tokyo,29.2,33.8
2021/8/31,Tokyo,26.9,32.4
2021/9/1,Tokyo,20.7,23.5
2021/9/2,Tokyo,19.4,20.6
2021/9/3,Tokyo,19.7,21.4
2021/9/4,Tokyo,20.6,22.9
2021/9/5,Tokyo,21,24.7
2021/9/6,Tokyo,19.9,21.8
2021/9/7,Tokyo,20.4,24.4
2021/9/8,Tokyo,20.3,25
2021/9/9,Tokyo,20.5,22.5
2021/9/10,Tokyo,24.8,30
2021/9/11,Tokyo,25,29.1
2021/9/12,Tokyo,24.4,26.9
2021/9/13,Tokyo,25.2,30.7
2021/9/14,Tokyo,22.8,25.7
2021/9/15,Tokyo,22.9,28.5
2021/9/16,Tokyo,22.3,27.4
2021/9/17,Tokyo,22.3,25.2
2021/9/18,Tokyo,23.7,26
2021/9/19,Tokyo,23.9,29.2
2021/9/20,Tokyo,22.4,28.3
2021/9/21,Tokyo,22.7,27.9
2021/9/22,Tokyo,24.9,29.5
2021/9/23,Tokyo,26.6,31.7
2021/9/24,Tokyo,25.4,30.6
2021/9/25,Tokyo,22.1,24.5
2021/9/26,Tokyo,19.9,21.3
2021/9/27,Tokyo,20.1,24.8
2021/9/28,Tokyo,21.1,26.6
2021/9/29,Tokyo,21.9,26.3
2021/9/30,Tokyo,23.2,29.2
2021/10/1,Tokyo,19,21.3
2021/10/2,Tokyo,21.9,30.1
2021/10/3,Tokyo,22.1,27.7
2021/10/4,Tokyo,23.5,29.7
2021/10/5,Tokyo,23.9,29.1
2021/10/6,Tokyo,22.8,28.5
2021/10/7,Tokyo,21.3,24.1
2021/10/8,Tokyo,24.2,29.2
2021/10/9,Tokyo,22.7,28.1
2021/10/10,Tokyo,22.2,26.7
2021/10/11,Tokyo,24,29.3
2021/10/12,Tokyo,20.5,23.8
2021/10/13,Tokyo,17.4,18.5
2021/10/14,Tokyo,19.1,24.5
2021/10/15,Tokyo,20.7,25.4
2021/10/16,Tokyo,21,23.2
2021/10/17,Tokyo,15.7,21.2
2021/10/18,Tokyo,13.6,18.8
2021/10/19,Tokyo,13.5,15.4
2021/10/20,Tokyo,16.1,22.3
2021/10/21,Tokyo,15.4,19.3
2021/10/22,Tokyo,11.2,15.3
2021/10/23,Tokyo,13.6,19.2
2021/10/24,Tokyo,13.4,19.5
2021/10/25,Tokyo,14,17.3
2021/10/26,Tokyo,15,20.4
2021/10/27,Tokyo,14.5,16.6
2021/10/28,Tokyo,17.6,23
2021/10/29,Tokyo,15.3,20
2021/10/30,Tokyo,14.5,20.4
2021/10/31,Tokyo,13.6,16.4
2021/11/1,Tokyo,16.8,21.4
2021/11/2,Tokyo,17.7,21.9
2021/11/3,Tokyo,17.1,22.1
2021/11/4,Tokyo,15.5,20.3
2021/11/5,Tokyo,15.3,20.3
2021/11/6,Tokyo,14.9,19.6
